comparison_id,candidate_method,reference_method,metric,resampling_unit,omitted_cluster,cluster_count_retained,full_mean_paired_difference,leave_one_out_mean_paired_difference,change_from_full_mean,independence_status
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs291119_000233_30fps,12,-1534.8461538461538,-1562.75,-27.90384615384619,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs291119_000263_30fps,12,-1534.8461538461538,-1433.1666666666667,101.67948717948707,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs291119_000302_30fps,12,-1534.8461538461538,-1456.9166666666667,77.92948717948707,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs301119_000327_30fps,12,-1534.8461538461538,-1411.3333333333333,123.51282051282055,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs301119_000328_30fps,12,-1534.8461538461538,-1650.0833333333333,-115.23717948717945,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs301119_000329_30fps,12,-1534.8461538461538,-1648.75,-113.90384615384619,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs301119_000330_30fps,12,-1534.8461538461538,-1337.8333333333333,197.01282051282055,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs281119_000085_30fps,12,-51.16153846153654,-55.39999999999792,-4.2384615384613795,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs281119_000114_30fps,12,-51.16153846153654,-44.37499999999833,6.786538461538207,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs291119_000216_30fps,12,-51.16153846153654,-55.366666666664585,-4.205128205128048,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs291119_000225_30fps,12,-51.16153846153654,-55.424999999997915,-4.263461538461378,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs291119_000226_30fps,12,-51.16153846153654,-55.363888888886805,-4.202350427350268,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs291119_000231_30fps,12,-51.16153846153654,-49.14166666666494,2.019871794871598,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs291119_000233_30fps,12,-51.16153846153654,-52.09166666666477,-0.9301282051282342,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs291119_000263_30fps,12,-51.16153846153654,-47.77222222222038,3.389316239316159,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs291119_000302_30fps,12,-51.16153846153654,-48.563888888886986,2.5976495726495514,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs301119_000327_30fps,12,-51.16153846153654,-47.04444444444267,4.117094017093869,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs301119_000328_30fps,12,-51.16153846153654,-55.0027777777757,-3.841239316239161,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs301119_000329_30fps,12,-51.16153846153654,-54.958333333331254,-3.7967948717947166,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_seconds,VIDEO,Pigs301119_000330_30fps,12,-51.16153846153654,-44.59444444444276,6.56709401709378,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs281119_000085_30fps,12,-1.1538461538461537,-1.25,-0.09615384615384626,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs281119_000114_30fps,12,-1.1538461538461537,-1.0,0.15384615384615374,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs291119_000216_30fps,12,-1.1538461538461537,-1.25,-0.09615384615384626,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs291119_000225_30fps,12,-1.1538461538461537,-1.25,-0.09615384615384626,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs291119_000226_30fps,12,-1.1538461538461537,-1.25,-0.09615384615384626,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs291119_000231_30fps,12,-1.1538461538461537,-1.1666666666666667,-0.012820512820512997,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs291119_000233_30fps,12,-1.1538461538461537,-1.0833333333333333,0.07051282051282048,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs291119_000263_30fps,12,-1.1538461538461537,-1.0833333333333333,0.07051282051282048,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs291119_000302_30fps,12,-1.1538461538461537,-1.0833333333333333,0.07051282051282048,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs301119_000327_30fps,12,-1.1538461538461537,-1.25,-0.09615384615384626,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs301119_000328_30fps,12,-1.1538461538461537,-1.25,-0.09615384615384626,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs301119_000329_30fps,12,-1.1538461538461537,-1.0833333333333333,0.07051282051282048,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,terminal_identity_episodes,VIDEO,Pigs301119_000330_30fps,12,-1.1538461538461537,-1.0,0.15384615384615374,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs281119_000085_30fps,12,-2.6153846153846154,-2.75,-0.13461538461538458,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs281119_000114_30fps,12,-2.6153846153846154,-3.0,-0.3846153846153846,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs291119_000216_30fps,12,-2.6153846153846154,-2.0833333333333335,0.5320512820512819,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs291119_000225_30fps,12,-2.6153846153846154,-2.9166666666666665,-0.3012820512820511,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs291119_000226_30fps,12,-2.6153846153846154,-2.6666666666666665,-0.0512820512820511,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs291119_000231_30fps,12,-2.6153846153846154,-2.0833333333333335,0.5320512820512819,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs291119_000233_30fps,12,-2.6153846153846154,-2.5,0.11538461538461542,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs291119_000263_30fps,12,-2.6153846153846154,-2.8333333333333335,-0.21794871794871806,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,fragments,VIDEO,Pigs291119_000302_30fps,12,-2.6153846153846154,-2.5,0.11538461538461542,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
